name,address,city,postal_code,rating,user_ratings_total,types,maps_url,matched_keywords,place_category,product_category
XF Foodex,"All. de la Recherche 34, 1070 Anderlecht, Belgium",Anderlecht,1070,4.2,800,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJS3aiOpbFw0cR1rdv4RqqHjk,magasin de producteurs,magasin,
Ferme,"Square Meudon, 1200 Bruxelles, Belgium",Bruxelles,1200,4.7,26,store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJq2eNdHljwUcRPnMboT7siAc,ferme lait bio;magasin de producteurs,magasin;producteur,Produits laitiers
Paulus Stuart,"Rue Ropsy Chaudron 9, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,21,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJjfWiiAzEw0cRKnGAe1wKUqk,magasin de producteurs,magasin,
Vrak,"Waversesteenweg 1747, 1160 Oudergem, Belgium",Oudergem,1160,4.4,83,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ-6pw6DHbw0cRN-q6KGGBwCk,magasin de producteurs,magasin,
Denis / Didier,"Rue Charles Jaumotte 68, 1300 Wavre, Belgium",Wavre,1300,4.5,251,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJj-emryPWw0cR8sEW7ujxTpA,ferme avicole,producteur,
LE POULET DE REVES,"Rue du Moulin Charon 1, 6210 Les Bons Villers, Belgium",Les Bons Villers,6210,4.6,70,food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJZz1XVc8twkcR43JkN6kly0Y,ferme avicole,producteur,
Ferme Nos Pilifs,"Trassersweg 347, 1120 Brussel, Belgium",Brussel,1120,4.5,3176,park|general_contractor|bakery|restaurant|food|store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJlcMYfOnCw0cRFF9O5l2zOYE,ferme avicole,producteur,
Abattage de Volaille,"Rue de l'Instruction 3, 1070 Anderlecht, Belgium",Anderlecht,1070,5,4,food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJGZAXDw7Ew0cRrVU9U301qDg,ferme avicole,producteur,
"Fruit-Time - Venez cueillir vos fraises (juin), framboises (juillet, août, septembre), fleurs et autres petits fruits rouges.","Rue du Pommier 465, 1070 Anderlecht, Belgium",Anderlecht,1070,4.6,102,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJM0FVFN7Gw0cRf0JmYBNyQlA,ferme lait bio,producteur,Produits laitiers
La Bella Frutta Fromagerie - Primeurs,"Chau. d'Alsemberg 803, 1180 Uccle, Belgium",Uccle,1180,4.5,102,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJjeb_LrLFw0cRZgO_FaowHkI,primeurs bio,producteur,Fruits & Légumes
Au Petit Primeur,"Av. de Busleyden 65, 1020 Bruxelles, Belgium",Bruxelles,1020,4.7,47,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ56wjhtjDw0cRdcdFtk8NAUE,primeurs bio,producteur,Fruits & Légumes
Mims Primeur,"Av. Georges Henri 265, 1200 Woluwe-Saint-Lambert, Belgium",Woluwe-Saint-Lambert,1200,4.9,60,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ0VFVw1Xbw0cR10350siZ_FU,primeurs bio,producteur,Fruits & Légumes
Chez Galip - Primeur,"Pl. Verheyleweghen 28, 1200 Woluwe-Saint-Lambert, Belgium",Woluwe-Saint-Lambert,1200,4.3,252,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ2x5H4Kbcw0cRk3wcZTFB7dA,primeurs bio,producteur,Fruits & Légumes
Fruits et Légumes,"Pl. Martin Luther King 7, 1070 Anderlecht, Belgium",Anderlecht,1070,5,1,convenience_store|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ3bMgJZrHw0cRusLZYL_iF60,primeurs bio,producteur,Fruits & Légumes
VCV-Vlees-Centrale-Viande,"Quai de l'Industrie 155, 1070 Anderlecht, Belgium",Anderlecht,1070,5,8,store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJJWr8XQnEw0cR0f_Jihf01Hs,élevage vente viande vache,producteur,Viandes & Poissons
Vis ma vie d'abeille | Dr Miel vous offre du vrai miel et ça se goûte.,"Rue François Beeckmans 31/2, 1083 Ganshoren, Belgium",Ganshoren,1083,4.9,70,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJH1dSmWLBw0cRu8b3lqiDeyk,ferme apiculteur;ferme miel,producteur,Miels artisanaux et locaux
La Maison du Miel,"Rue du Midi 121, 1000 Bruxelles, Belgium",Bruxelles,1000,4.6,118,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJacflpHnEw0cRnFbI1a88_zA,ferme apiculteur;ferme miel,producteur,Miels artisanaux et locaux
Honey House Overijse Miel Honing Self Service 24h/24h Apiculteur Imker,"Riddersdal 1, 3090 Overijse, Belgium",Overijse,3090,5,34,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJNw19st7bw0cReUeESsrJzek,ferme apiculteur;ferme miel,producteur,Miels artisanaux et locaux
Le bonheur est dans le rucher,"Rue du Tulipier, 1190 Forest, Belgium",Forest,1190,5,3,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJQ6N3PV_Fw0cRyvPB5wW3sP4,ferme apiculteur;ferme miel,producteur,Miels artisanaux et locaux
Miel Goossens,"Rue de Grand-Bigard 537, 1082 Berchem-Sainte-Agathe, Belgium",Berchem-Sainte-Agathe,1082,4.8,61,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJQ-j5N9nDw0cR6juN8h-YY4s,ferme apiculteur;ferme miel,producteur,Miels artisanaux et locaux
Horra,"Rue du Pannenhuys 69, 1090 Bruxelles, Belgium",Bruxelles,1090,5,40,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ6WLmCpvDw0cRjHGj5PMHXvI,ferme apiculteur;ferme miel,producteur,Miels artisanaux et locaux
Apibeesabmails,"Albert Denystraat 30, 1651 Beersel, Belgium",Beersel,1651,5,22,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJZWe_osjJw0cRV5OPqZGvDWU,ferme apiculteur;ferme miel,producteur,Miels artisanaux et locaux
Ferme Pussemier,"Rue du Bois Planté 1, 1421 Braine-l'Alleud, Belgium",Braine-l'Alleud,1421,4.7,159,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJywNUJlXMw0cRdSo147xq1Ik,ferme miel,producteur,Miels artisanaux et locaux
Bonmiel,"Rue Grégoire Leroy 45, 1030 Schaerbeek, Belgium",Schaerbeek,1030,,,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJz-OraD3Dw0cRt4xHhB1-WhE,ferme miel,producteur,Miels artisanaux et locaux
Black Horse Miel Ahprodisiaque,"Rue Grétry 37, 1000 Bruxelles, Belgium",Bruxelles,1000,,,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJvbA_fQDDw0cREwVfZXbbibg,ferme miel,producteur,Miels artisanaux et locaux
Allo Guepes,"Bd Industriel 130, 1070 Anderlecht, Belgium",Anderlecht,1070,3.7,3,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJlV4d7WPDw0cRdw5G9Lndg1o,ferme apiculteur;ferme miel,producteur,Miels artisanaux et locaux
La Ruche Fleurie Hoeilaart Miel Honing Self Service 24h/24h Apiculteur Imker Miel a vendre,"Tenboslaan 59, 1560 Hoeilaart, Belgium",Hoeilaart,1560,5,1,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ70EGSBnRw0cRAtDOHH_zIAI,ferme apiculteur,producteur,Miels artisanaux et locaux
"Beetasty - Apiculteur, produits de la ruche artisanal","Rue de Maredret 14B, 5537 Anhée, Belgium",Anhée,5537,4.9,208,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJpy_moD-SwUcRiRiCUC5KJF0,ferme apiculteur,producteur,Miels artisanaux et locaux
Le Clos Des Aulniats,"Rue Puissant d'Agimont 230, 6040 Charleroi, Belgium",Charleroi,6040,4.6,82,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJsWbSNFEvwkcR-q4D5WKg4M4,ferme apiculteur,producteur,Miels artisanaux et locaux
