name,address,city,postal_code,rating,user_ratings_total,types,maps_url,matched_keywords,place_category,product_category
Song of the Quail Farm,"Av. des Cailles, 1170 Watermael-Boitsfort, Belgium",Watermael-Boitsfort,1170,4.6,242,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ07EEUCbbw0cRR379o1FVj_A,ferme bio;ferme lait bio;ferme miel,producteur,Miels artisanaux et locaux;Produits laitiers
La Ferme de la Papelotte,"Chem. de Catomoreau 50, 1410 Waterloo, Belgium",Waterloo,1410,4.9,11,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJp1rLvKXRw0cRBUxC_b16Ii4,ferme bio;ferme miel,producteur,Miels artisanaux et locaux
Ferme du Maustitchi,"Rue E. Depré 13, 6142 Fontaine-l'Évêque, Belgium",Fontaine-l'Évêque,6142,4.7,460,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJoWjxMio7wkcRneGsqtV-LLQ,ferme bio,producteur,
Ferme du Meylemeersch,"Rue Chant d'Oiseaux 221, 1070 Anderlecht, Belgium",Anderlecht,1070,5,2,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJX4z9DvPHw0cR4czlB7cglGo,ferme avicole;ferme bio;ferme lait bio;ferme miel,producteur,Miels artisanaux et locaux;Produits laitiers
Vredegerecht Anderlecht,"Pl. de la Résistance 3, 1070 Anderlecht, Belgium",Anderlecht,1070,2.8,8,courthouse|local_government_office|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ35SpXhzEw0cRAYGYAfqzRTM,circuit court,producteur,
Administration communale d'Anderlecht - État civil,"Rue de France 99, 1070 Anderlecht, Belgium",Anderlecht,1070,2.2,113,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJk-_KN43Fw0cRTvYZA_bhP2k,circuit court,producteur,
Centre Administratif Jacques Simonet Etat civil,"Pl. de la Vaillance 27, 1070 Anderlecht, Belgium",Anderlecht,1070,3.2,20,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ9_JlbqfGw0cRhRJeYldSr7w,circuit court,producteur,
Circuit - lieu de lien/ontmoetingsplek,"Rue du Grand Hospice 7/Local C19, 1000 Bruxelles, Belgium",Bruxelles,1000,5,1,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJGYg7caDDw0cRWVTti7MSwJo,circuit court,producteur,
Town hall Anderlecht,"Pl. du Conseil 1, 1070 Anderlecht, Belgium",Anderlecht,1070,2,114,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ82BEnQ3Ew0cRTggGVhrxqGI,circuit court,producteur,
Palace of Justice,"Pl. Poelaert 1, 1000 Bruxelles, Belgium",Bruxelles,1000,4.2,971,courthouse|tourist_attraction|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJz6MvLWPEw0cRBeLV8QN50AE,circuit court,producteur,
CPAS Anderlecht,"Av. Raymond Vander Bruggen 62/64, 1070 Anderlecht, Belgium",Anderlecht,1070,2.1,171,local_government_office|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJD2Y3nA3Ew0cRbbCbJGQy48s,circuit court,producteur,
CENTRE ADMINISTRATIF POUR LA COMMUNE D’ANDERLECHT,"Rue de Veeweyde 100, 1070 Anderlecht, Belgium",Anderlecht,1070,1,1,local_government_office|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJUeEc9OvHw0cRWp--LKZAz00,circuit court,producteur,
River of Life Cleaner,"Rue Léon Delacroix 55, 1070 Bruxelles, Belgium",Bruxelles,1070,5,2,grocery_or_supermarket|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJJ7PNuODFw0cR-WQy4O61trs,boutique bio locale;magasin bio,magasin,
Natural Corner,"Rue de l'Escalier 1, 1000 Bruxelles, Belgium",Bruxelles,1000,4.7,241,food|store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJn5wapX7Ew0cR9PlqUsf0l-w,boutique bio locale;magasin bio,magasin,
The Barn Bio Markt - Sint-Gillis,"Chau. de Charleroi 92, 1060 Saint-Gilles, Belgium",Saint-Gilles,1060,4.6,475,grocery_or_supermarket|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJob0TanrFw0cRZuUMis3Qxos,boutique bio locale;magasin bio;magasin de producteurs,magasin,
Ozfair,"Av. Jean Volders 9, 1060 Bruxelles, Belgium",Bruxelles,1060,4.6,86,grocery_or_supermarket|clothing_store|home_goods_store|bar|restaurant|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJZUYGsmjEw0cRUF-zOWIxFLo,boutique bio locale;magasin bio,magasin,
Färm,"Chau. d'Ixelles 136, 1050 Ixelles, Belgium",Ixelles,1050,3.8,166,grocery_or_supermarket|food|store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ1w0t_I7Ew0cRneYgWMubzc0,magasin bio,magasin,
Retour Ô Naturel,"Sq. Albert Ier 17, 1070 Anderlecht, Belgium",Anderlecht,1070,4.8,61,store|point_of_interest|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ54xHs5PFw0cRZSPQI2f99ig,boutique bio locale;magasin bio,magasin,
Made in Anderlecht,"Rue Wayez 135, 1070 Anderlecht, Belgium",Anderlecht,1070,4.8,21,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJW5geglrHw0cRjfyjctqFXwo,boutique bio locale;magasin bio;magasin de producteurs;épicerie bio,magasin,
l'artisan beldi,"Rue Théodore Verhaegen 69, 1060 Bruxelles, Belgium",Bruxelles,1060,4.4,53,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJR0TAPmjEw0cRkmTADKUwtyQ,boutique bio locale;magasin bio,magasin,
Vidya.,"Quai des Charbonnages 78, 1080 Bruxelles, Belgium",Bruxelles,1080,4.7,96,grocery_or_supermarket|food|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJecaSIInDw0cRKi204KvxHpg,magasin bio,magasin,
