Bioceno,"Rue Paepsem 123 Boite 7/bâtiment 7, 1070 Anderlecht, Belgium",Anderlecht,1070,4.8,23,food|point_of_interest|store|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJRRbEeNXaw0cRg8uFdPpoa6s,producteur bio
eFarmz,"Bd Industriel 135, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,228,food|point_of_interest|store|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJbdOEdR3Ew0cR6eh_KdgNg7E,producteur bio
Vert d'Iris,"Chemin en face du 20, Rue de Koeivijver, 1070 Anderlecht, Belgium",Anderlecht,1070,4.6,28,food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJJQOdzOPGw0cRxHA-GkkAp5o,producteur bio
Färm,"Bd Sylvain Dupuis 433, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,65,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJLRYBhV3Hw0cRmfTSDciaNaY,producteur bio
Herbéa,"Rue de Neerpede, 1070 Anderlecht, Belgium",Anderlecht,1070,5,1,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJiyAJKgDHw0cRURJektXJtxc,producteur bio
Vert d'Iris scrl-fs,"Rue des Betteraves 27, 1070 Bruxelles, Belgium",Bruxelles,1070,4.9,7,food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ7QpdkuPGw0cRorbuLGhFHOg,producteur bio
Brussels Aquaponic Farm - BIGH Anderlecht,"Rue Ropsy Chaudron 24 boîte 35, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,69,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJybFMQQzEw0cREIUU_jQCSto,producteur bio
Marché Bio de Roodebeek,"Chau. de Roodebeek 298, 1200 Woluwe-Saint-Lambert, Belgium",Woluwe-Saint-Lambert,1200,4.6,23,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJL8j2Pabcw0cRx9H0-fBrcjk,producteur bio
Smala Farming,"Rue de Neerpede, 1070 Anderlecht, Belgium",Anderlecht,1070,4.9,28,food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJF9D9qLrHw0cRJLJB3_gyIeY,producteur bio
BIOCultura,"Rue Chant d'Oiseaux 171, 1070 Anderlecht, Belgium",Anderlecht,1070,0,0,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJQ85Mko0OSgoRH1HHMNy5UAg,producteur bio
Het Ketelveldv,"Rue du Chaudron 62, 1070 Anderlecht, Belgium",Anderlecht,1070,4.7,33,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJVx7ue0LHw0cRzdQr9_UT8D4,producteur bio
Bio Sanaa,"Wayezstraat 60/64, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,10,food|point_of_interest|store|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJfzdrSwDFw0cRdZTflbguZ2w,producteur bio
Paracelsus,"Bd Félix Paulsen 50, 1070 Anderlecht, Belgium",Anderlecht,1070,4.7,52,food|point_of_interest|store|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJvVBASanGw0cRnZGSnGbISYI,producteur bio
La Petite Epicerie Bio,"Chau. de Waterloo 42, 1060 Saint-Gilles, Belgium",Saint-Gilles,1060,4.8,87,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ1WOnFWbEw0cRcceCzxuZs94,producteur bio
Bio Vrac,"Rue Meyerbeer 144, 1180 Uccle, Belgium",Uccle,1180,4.4,323,grocery_or_supermarket|food|point_of_interest|store|health|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ1dgJtU_Ew0cRlLlUFRHlIec,producteur bio
The Barn Bio Market - Vanderkindere,"Rue Vanderkindere 166, 1180 Uccle, Belgium",Uccle,1180,4.3,136,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJKar-3YLFw0cRc-Kef71vBYE,producteur bio
La Ferme du Chaudron - Ketelhoeve,"Rue du Chaudron 20/30, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,41,grocery_or_supermarket|restaurant|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJn59isFrHw0cRAJyLWDb_GRw,producteur bio
Molleke,"Rue de la Poudrière 64, 1000 Bruxelles, Belgium",Bruxelles,1000,4.9,55,cafe|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJCxeJ1n3Dw0cRiyvRWnTTCuI,producteur bio
Kip Eat' Naturel,"Pl. Bizet 45/47, 1070 Anderlecht, Belgium",Anderlecht,1070,4.9,113,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJyxVzkzjHw0cRPn1bB_65bvU,producteur bio
La Vivrière,"Rue de la Station 2, 1190 Forest, Belgium",Forest,1190,4.6,97,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJy3n4fC3Ew0cR3ZuQz0HUVcI,producteur bio
Brüt by Färm,"Chau. de Waterloo 528, 1050 Ixelles, Belgium",Ixelles,1050,4.6,133,grocery_or_supermarket|bakery|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJCfOcyYnFw0cRP9aO_ikil_s,producteur bio
Le Champignon de Bruxelles,"Rue Ropsy Chaudron 24, 1070 Bruxelles, Belgium",Bruxelles,1070,4.5,4,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJbU-4bbLFw0cR20eVgEaBeNM,producteur bio
LA PARCELLE FRUITS-DUPUIS,"Rue des Fruits 53, 1070 Anderlecht, Belgium",Anderlecht,1070,5,3,food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ67jbIb7Hw0cROexGa_Ca-zY,producteur bio
Boerderij Heymans Neerpede,"Rue de Neerpede 958, 1070 Anderlecht, Belgium",Anderlecht,1070,4.7,43,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJA04pkivHw0cRh4M-2V6c1wY,producteur bio
Espace-test Agricole Graines de Paysans,"Rue Chant d'Oiseaux 171, 1070 Anderlecht, Belgium",Anderlecht,1070,4.6,11,park|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ-xdmmCrHw0cRjEzZbn-xUjM,producteur bio
Cabas - Marché de producteur .ices,"Av. des Saisons 82, 1050 Ixelles, Belgium",Ixelles,1050,4.8,21,supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJURNTTFrFw0cReATyhHshqN4,producteur bio
MicroFlavours,"Rue Ropsy Chaudron 24, échoppe 1/07, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,12,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJZw98H4zDw0cRJUyHcGp5iEo,producteur bio
Ferme du Peuplier,"Sur tous nos marchés hebdomadaires - pas de magasin à la ferme, Rue de la Bryle 59, 1390 Grez-Doiceau, Belgium",Grez-Doiceau,1390,5,21,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJcebdISFjwUcRUzlPHQqwOtk,producteur bio
Alimentation Géniale,"Av. de la Prte de Hal 1, 1060 Saint-Gilles, Belgium",Saint-Gilles,1060,4.6,211,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJcfkFCWbEw0cRHypVeVJ9frc,producteur local
